CUFDFDFDF,ACFFEEREG
CUSTOMER2,AA350C0LQO3L2AFZIWPUSD
CUSTOMER3,AA350C0LQO3L2AFZYWNUSD
CUSTOMER4,AA350C0LQO3L2AG0728USD
CUSTOMER5,AA350C0LQO3L2AG0DK2USD
CUSTOMER5,AA350C0L10Y9L2Q5G333USD
CUSTOMER5,AA350C0L10Y9L2Q5GM83USD
CUSTOMER5,AA350C0L10Y9L2Q5H86OUSD
CUSTOMER5,AA350C0L10Y9L2Q5HDQHUSD
CUSTOMER5,AA350C0L10Y9L2Q5HJ9VUSD
CUSTOMER5,AA350C0L10Y9L2Q5HO2RUSD
CUSTOMER5,AA350C0L10Y9L2Q5HUBPUSD
CUSTOMER5,AA350C0L10Y9L2Q5HYKHUSD
CUSTOMER5,AA350C0L10Y9L2Q5I3OSUSD
CUSTOMER5,AA350C0L10Y9L2Q5IVPBUSD
CUSTOMER5,AA350C0L10Y9L2Q5J0INUSD
CUSTOMER5,AA350C0L10Y9L2Q5J4MDUSD
CUSTOMER5,AA350C0L10Y9L2Q5J9GVUSD
CUSTOMER5,AA350C0L10Y9L2Q5JE4ZUSD
CUSTOMER5,AA350C0L10Y9L2Q5JIYPUSD
CUSTOMER5,AA350C0L10Y9L2Q5JNDZUSD
CUSTOMER5,AA350C0L10Y9L2Q5JRC3USD
CUSTOMER5,AA350C0L10Y9L2Q5JUZNUSD
CUSTOMER5,AA350C0L10Y9L2Q5K0NWUSD
CUSTOMER5,AA350C0L10Y9L2Q5K5I7USD
CUSTOMER5,AA350C0L10Y9L2Q5K9Y0USD
CUSTOMER5,AA350C0L10Y9L2Q5KD5VUSD
CUSTOMER5,AA350C0L10Y9L2Q5KGJ6USD
CUSTOMER5,AA350C0L10Y9L2Q5KJZDUSD
CUSTOMER5,AA350C0L10Y9L2Q5KN8JUSD
